char_count,word_count,unique_word_count,sentence_count,avg_word_length,std_word_length,avg_sentence_length,std_sentence_length,type_token_ratio,punctuation_ratio,comma_ratio,period_ratio,exclamation_ratio,question_ratio,semicolon_ratio,colon_ratio,repeated_punctuation_ratio,uppercase_ratio,digit_ratio,noun_ratio,verb_ratio,adjective_ratio,adverb_ratio,pronoun_ratio,conjunction_ratio,stopword_ratio,negation_ratio,intensifier_ratio,certainty_ratio,syllable_count,flesch_reading_ease,flesch_kincaid_grade,gunning_fog,sentiment_polarity,sentiment_subjectivity,repeated_word_count,repeated_word_ratio
245,49,40,4,3.857142857142857,2.1285234893930487,12.25,4.602988159880492,0.8163265306122449,0.024489795918367346,0.004081632653061225,0.0163265306122449,0.0,0.0,0.0,0.0,0.0,0.024489795918367346,0.0,0.1836734693877551,0.12244897959183673,0.12244897959183673,0.08163265306122448,0.14285714285714285,0.10204081632653061,0.5714285714285714,0.0,0.04081632653061224,0.02040816326530612,64,83.90329081632655,4.599744897959184,7.348979591836735,0.41181818181818186,0.510381593714927,0,0.0
267,51,44,5,3.7254901960784315,1.9002417944448184,10.2,9.703607576566563,0.8627450980392157,0.0749063670411985,0.018726591760299626,0.052434456928838954,0.0,0.0,0.0,0.0,0.0149812734082397,0.0149812734082397,0.0,0.13725490196078433,0.09803921568627451,0.13725490196078433,0.17647058823529413,0.13725490196078433,0.0392156862745098,0.5686274509803921,0.0,0.0392156862745098,0.0,62,85.38,4.331666666666667,6.466666666666668,-0.32380952380952377,0.6654761904761904,0,0.0
120,24,22,2,3.875,1.9856254262406425,12.0,10.0,0.9166666666666666,0.03333333333333333,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.2916666666666667,0.16666666666666666,0.08333333333333333,0.0,0.20833333333333334,0.041666666666666664,0.5416666666666666,0.0,0.0,0.0,29,76.82043478260871,8.25826086956522,12.678260869565218,0.8,0.75,0,0.0
30,5,5,1,5.0,1.6733200530681511,5.0,0.0,1.0,0.03333333333333333,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,7,83.32000000000004,2.879999999999999,2.0,1.0,1.0,0,0.0
132,23,22,2,4.6521739130434785,2.1388476306519726,11.5,7.5,0.9565217391304348,0.022727272727272728,0.007575757575757576,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.30434782608695654,0.17391304347826086,0.13043478260869565,0.0,0.08695652173913043,0.08695652173913043,0.43478260869565216,0.0,0.0,0.0,32,77.45815217391308,5.312391304347827,8.078260869565218,-0.13333333333333333,0.43333333333333335,0,0.0
593,99,78,2,4.717171717171717,2.696950781154109,49.5,27.5,0.7878787878787878,0.016863406408094434,0.011804384485666104,0.0016863406408094434,0.0,0.0,0.0,0.0,0.0,0.011804384485666104,0.0,0.2222222222222222,0.12121212121212122,0.1111111111111111,0.0707070707070707,0.12121212121212122,0.04040404040404041,0.5353535353535354,0.0,0.030303030303030304,0.0,158,22.417,22.554000000000006,24.8,0.20032051282051283,0.48012820512820514,0,0.0
64,15,14,1,3.066666666666667,0.8537498983243799,15.0,0.0,0.9333333333333333,0.03125,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.078125,0.0,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.2,0.2,0.8,0.0,0.0,0.0,16,101.37000000000002,2.8466666666666676,6.0,0.45,0.6444444444444444,0,0.0
68,12,12,3,4.5,1.9364916731037085,4.0,0.816496580927726,1.0,0.04411764705882353,0.0,0.029411764705882353,0.014705882352941176,0.0,0.0,0.0,0.0,0.04411764705882353,0.0,0.25,0.25,0.08333333333333333,0.0,0.0,0.0,0.4166666666666667,0.08333333333333333,0.0,0.0,17,82.92500000000001,2.6866666666666674,4.933333333333334,-0.024999999999999994,0.45,0,0.0
67,10,10,2,5.6,2.973213749463701,5.0,2.0,1.0,0.029850746268656716,0.0,0.029850746268656716,0.0,0.0,0.0,0.0,0.0,0.029850746268656716,0.0,0.1,0.3,0.1,0.2,0.2,0.0,0.6,0.0,0.1,0.0,19,41.02000000000004,8.780000000000001,10.0,0.1,0.2125,0,0.0
148,28,25,5,4.142857142857143,2.2946254863155726,5.6,3.7735924528226414,0.8928571428571429,0.033783783783783786,0.006756756756756757,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.05405405405405406,0.0,0.2857142857142857,0.07142857142857142,0.17857142857142858,0.03571428571428571,0.14285714285714285,0.03571428571428571,0.4642857142857143,0.03571428571428571,0.03571428571428571,0.0,41,75.8514285714286,4.418571428571429,7.085714285714286,-0.27,0.49333333333333335,0,0.0
42,9,8,1,3.2222222222222223,1.227262335243029,9.0,0.0,0.8888888888888888,0.07142857142857142,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.0,0.1111111111111111,0.0,0.4444444444444444,0.0,0.0,0.0,9,113.10000000000002,-0.27999999999999936,3.6,-0.029629629629629617,0.7111111111111111,0,0.0
109,20,20,2,4.4,1.9078784028338915,10.0,2.0,1.0,0.01834862385321101,0.0,0.01834862385321101,0.0,0.0,0.0,0.0,0.0,0.01834862385321101,0.0,0.15,0.15,0.1,0.15,0.1,0.0,0.55,0.0,0.05,0.0,30,69.78500000000001,6.010000000000002,6.0,0.26666666666666666,0.4666666666666666,0,0.0
63,12,11,2,4.166666666666667,2.1921577396609844,6.0,0.0,0.9166666666666666,0.031746031746031744,0.0,0.031746031746031744,0.0,0.0,0.0,0.0,0.0,0.031746031746031744,0.0,0.0,0.08333333333333333,0.25,0.25,0.16666666666666666,0.16666666666666666,0.5833333333333334,0.0,0.08333333333333333,0.0,15,94.995,1.5,5.733333333333334,0.15833333333333333,0.5875,0,0.0
93,16,16,3,4.5625,1.7666617531378213,5.333333333333333,2.0548046676563256,1.0,0.043010752688172046,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.010752688172043012,0.4375,0.125,0.0625,0.0625,0.0625,0.0,0.375,0.0,0.0625,0.0,24,74.52166666666669,4.190000000000001,4.633333333333333,0.5,0.6,0,0.0
